C214			1			5
=			4			4
+			4			1
006.0			3			0
320			3			0
100			3			0
050			3			0
05			3			0
08			3			0
06			3			0
01			3			0
00			3			0
01			3			0
0000			3			0
0.000			3			0
300			3			0
0.250			3			0
0.2			3			0
100.0			3			0
;			4			6
C209			1			5
=			4			4
+			4			1
005.5			3			0
230			3			0
100			3			0
050			3			0
05			3			0
08			3			0
06			3			0
01			3			0
00			3			0
01			3			0
0000			3			0
0.000			3			0
300			3			0
0.170			3			0
0.1			3			0
070.0			3			0
;			4			6
C206			1			5
=			4			4
+			4			1
005.0			3			0
140			3			0
060			3			0
050			3			0
05			3			0
08			3			0
06			3			0
01			3			0
00			3			0
01			3			0
0000			3			0
0.000			3			0
300			3			0
0.120			3			0
0.1			3			0
040.0			3			0
;			4			6
C204			1			5
=			4			4
+			4			1
004.0			3			0
100			3			0
050			3			0
050			3			0
05			3			0
08			3			0
06			3			0
01			3			0
00			3			0
01			3			0
0000			3			0
0.000			3			0
300			3			0
0.100			3			0
0.0			3			0
030.0			3			0
;			4			6
C525			1			5
=			4			4
+			4			1
002.5			3			0
070			3			0
040			3			0
050			3			0
05			3			0
08			3			0
06			3			0
01			3			0
00			3			0
01			3			0
0000			3			0
0.000			3			0
300			3			0
0.085			3			0
0.0			3			0
018.0			3			0
;			4			6
C202			1			5
=			4			4
+			4			1
002.0			3			0
050			3			0
040			3			0
050			3			0
05			3			0
08			3			0
06			3			0
01			3			0
00			3			0
01			3			0
0000			3			0
0.000			3			0
300			3			0
0.075			3			0
0.0			3			0
015.0			3			0
;			4			6
C515			1			5
=			4			4
+			4			1
001.5			3			0
025			3			0
040			3			0
050			3			0
05			3			0
08			3			0
06			3			0
01			3			0
00			3			0
01			3			0
0000			3			0
0.000			3			0
300			3			0
0.065			3			0
0.0			3			0
012.0			3			0
;			4			6
C201			1			5
=			4			4
+			4			1
001.0			3			0
015			3			0
030			3			0
050			3			0
05			3			0
08			3			0
06			3			0
01			3			0
00			3			0
01			3			0
0000			3			0
0.000			3			0
300			3			0
0.055			3			0
0.0			3			0
008.0			3			0
;			4			6
G54			1			1
G92			1			1
X			1			15
+			4			1
0.000			3			0
Y			1			17
+			4			1
0.000			3			0
Z			1			19
+			4			1
0.000			3			0
;			4			6
H2000			1			7
=			4			4
+			4			1
0.000			3			0
;			4			6
M98			1			3
P2000			1			13
;			4			6
G54			1			1
G00			1			1
G90			1			1
Z			1			19
+			4			1
1.000			3			0
;			4			6
G54			1			1
G00			1			1
G90			1			1
X			1			15
+			4			1
0.000			3			0
