(       COND    VER.1.00        SYSTEM  CONDITION               29/OCT/2007);
(     PL IP    ON  OFF SV  S  UP DN V  LC PP B_OFS S_OFS LNS  STEP  LNM RY );
C123 = + 023.0 510 120 050 05 08 06 01 00 01 0000 0.000 300 0.450 0.350 200.0;
C119 = + 019.0 440 120 050 05 08 06 01 00 01 0000 0.000 300 0.380 0.300 160.0;
C115 = + 015.0 370 110 050 05 08 06 01 00 01 0000 0.000 300 0.310 0.250 120.0;
C113 = + 013.0 330 110 050 05 08 06 01 00 01 0000 0.000 300 0.260 0.240 100.0;
C111 = + 011.0 290 100 050 05 08 06 01 00 01 0000 0.000 300 0.220 0.190 080.0;
C109 = + 009.0 250 100 050 05 08 06 01 00 01 0000 0.000 300 0.180 0.165 070.0;
C108 = + 008.0 210 080 050 05 08 06 01 00 01 0000 0.000 300 0.150 0.140 060.0;
C107 = + 007.0 180 080 050 05 08 06 01 00 01 0000 0.000 300 0.140 0.130 050.0;
C106 = + 006.0 150 070 050 05 08 06 01 00 01 0000 0.000 300 0.130 0.120 045.0;
C105 = + 005.0 130 060 050 05 08 06 01 00 01 0000 0.000 300 0.120 0.110 040.0;
C104 = + 004.0 110 050 050 05 08 06 01 00 01 0000 0.000 300 0.110 0.100 040.0;
C103 = + 003.0 095 040 050 05 08 06 01 00 01 0000 0.000 300 0.100 0.090 040.0;
C425 = + 002.5 080 040 050 05 08 06 01 00 01 0000 0.000 300 0.090 0.080 020.0;
C102 = + 002.0 060 040 050 05 08 05 01 00 01 0000 0.000 300 0.080 0.070 016.0;
C415 = + 001.5 030 045 050 05 08 05 01 00 01 0000 0.000 300 0.070 0.060 013.0;
C101 = + 001.0 020 030 050 05 08 04 01 00 01 0000 0.000 300 0.060 0.050 010.0;

C214 = + 006.0 320 100 050 05 08 06 01 00 01 0000 0.000 300 0.250 0.230 100.0;
C209 = + 005.5 230 100 050 05 08 06 01 00 01 0000 0.000 300 0.170 0.155 070.0;
C206 = + 005.0 140 060 050 05 08 06 01 00 01 0000 0.000 300 0.120 0.110 040.0;
C204 = + 004.0 100 050 050 05 08 06 01 00 01 0000 0.000 300 0.100 0.090 030.0;
C525 = + 002.5 070 040 050 05 08 06 01 00 01 0000 0.000 300 0.085 0.070 018.0;
C202 = + 002.0 050 040 050 05 08 06 01 00 01 0000 0.000 300 0.075 0.060 015.0;
C515 = + 001.5 025 040 050 05 08 06 01 00 01 0000 0.000 300 0.065 0.050 012.0;
C201 = + 001.0 015 030 050 05 08 06 01 00 01 0000 0.000 300 0.055 0.045 008.0;
C505 = + 000.5 008 015 050 05 08 06 01 00 01 0000 0.000 300 0.045 0.040 006.0;

C330 = + 003.0 060 040 050 05 08 06 01 00 01 0000 0.000 300 0.080 0.070 018.0;
C320 = + 002.0 040 030 050 05 08 06 01 00 01 0000 0.000 300 0.065 0.055 015.0;
C615 = + 001.5 020 030 050 05 08 06 01 00 01 0000 0.000 300 0.055 0.045 010.0;
C301 = + 001.0 010 020 050 05 08 06 01 00 01 0000 0.000 300 0.045 0.035 007.0;
C605 = + 000.5 005 015 050 05 08 06 01 00 01 0000 0.000 300 0.035 0.030 005.0;
C300 = + 000.0 002 010 050 05 08 06 01 00 01 0000 0.000 300 0.025 0.020 002.5;
