(       COND    VER.1.00        SYSTEM  CONDITION               29/OCT/2007);
(     PL IP    ON  OFF SV  S  UP DN V  LC PP B_OFS S_OFS LNS  STEP  LNM RY );
C163   =    +     063.0 991 710 035 30 08 15 02 00 01 0.855 0.630 0000 0.000 300 800 ;
C155 = + 055.0 990 700 035 30 08 15 02 00 01 0.800 0.570 0000 0.000 300 650 ;
C147 = + 047.0 870 620 035 30 08 15 02 00 01 0.735 0.510 0000 0.000 300 550 ;
C139 = + 038.0 750 530 045 30 12 15 02 00 01 0.670 0.450 0000 0.000 300 500 ;
C131 = + 031.0 620 150 045 30 12 12 02 00 01 0.590 0.405 0000 0.000 300 450 ;
C127 = + 027.0 560 140 045 30 12 12 02 00 01 0.540 0.375 0000 0.000 300 400 ;
C123 = + 023.0 490 120 045 30 12 12 02 00 01 0.492 0.355 0000 0.000 300 350 ;
C119 = + 019.0 420 105 045 40 12 12 02 00 01 0.430 0.330 0000 0.000 300 300 ;
C115 = + 015.0 350 090 050 40 12 10 02 00 01 0.364 0.295 0000 0.000 300 260 ;
C113 = + 013.0 310 085 050 40 12 10 02 00 01 0.325 0.285 0000 0.000 300 220 ;
C111 = + 011.0 270 085 050 40 12 10 02 00 01 0.287 0.265 0000 0.000 300 180 ;
C109 = + 009.0 230 085 050 50 12 10 02 00 01 0.246 0.255 0000 0.000 300 150 ;
C108 = + 008.0 210 080 050 50 12 10 02 00 01 0.225 0.235 0000 0.000 300 120 ;
C107 = + 007.0 190 080 050 50 12 10 02 00 01 0.205 0.215 0000 0.000 300 100 ;
C106 = + 006.0 170 070 055 50 12 08 02 00 01 0.178 0.195 0000 0.000 300  80 ;
C105 = + 005.0 145 060 055 50 12 08 02 00 01 0.152 0.165 0000 0.000 300  60 ;
C104 = + 004.0 120 060 055 62 12 08 02 00 01 0.124 0.155 0000 0.000 300  40 ;
C734 = + 003.5 110 055 060 62 12 08 02 00 01 0.109 0.145 0000 0.000 300  30 ;
C103 = + 003.0 095 050 060 62 12 08 02 00 01 0.098 0.130 0000 0.000 300  25 ;
C724 = + 002.5 085 050 060 62 12 08 02 00 01 0.085 0.105 0000 0.000 300  20 ;
C102 = + 002.0 070 045 060 72 12 08 02 00 01 0.075 0.090 0000 0.000 300  17 ;
C714 = + 001.5 055 045 060 72 12 08 02 00 01 0.058 0.080 0000 0.000 300  13 ;
C101 = + 001.0 040 040 070 73 12 08 02 00 01 0.043 0.065 0000 0.000 300 8.0 ;

C000 = + 063.0 900 710 040 30 10 15 02 00 01 0.835 0.616 0000 0.000 300 200 ;
C001 = + 049.0 800 620 040 30 10 15 02 00 01 0.725 0.506 0000 0.000 300 150 ;
C002 = + 031.0 550 130 050 30 12 15 02 00 01 0.555 0.386 0000 0.000 300 120 ;
C003 = + 014.0 300 090 055 41 12 12 02 00 01 0.300 0.232 0000 0.000 300  80 ;
C004 = + 009.0 230 085 055 52 12 12 02 00 01 0.205 0.174 0000 0.000 300  60 ;
C005 = + 006.0 160 070 060 52 12 12 02 00 01 0.150 0.126 0000 0.000 300  45 ;
C006 = + 004.0 100 050 060 72 12 10 02 00 01 0.107 0.087 0000 0.000 300  30 ;
C007 = + 002.5 060 040 065 73 12 10 02 00 01 0.072 0.058 0000 0.000 300  17 ;
C008 = + 001.5 035 030 070 73 12 10 02 00 01 0.051 0.038 0000 0.000 300  12 ;
C009 = + 001.0 020 020 070 73 12 10 02 00 01 0.035 0.023 0000 0.000 300 7.0 ;

C024 = + 007.0 110 040 055 52 12 12 02 00 01 0.156 0.133 0000 0.000 300  45 ;
C025 = + 006.0 095 040 060 52 12 12 02 00 01 0.124 0.103 0000 0.000 300  35 ;
C026 = + 005.0 075 040 060 62 12 12 02 00 01 0.109 0.089 0000 0.000 300  30 ;
C027 = + 004.0 060 035 060 72 12 10 02 00 01 0.085 0.066 0000 0.000 300  23 ;
C028 = + 003.0 040 030 065 72 12 10 02 00 01 0.072 0.060 0000 0.000 300  17 ;
C029 = + 002.0 027 025 065 73 12 10 02 00 01 0.055 0.044 0000 0.000 300  13 ;
C030 = + 001.5 020 020 070 73 12 10 02 00 01 0.048 0.039 0000 0.000 300  10 ;
C031 = + 001.0 018 018 070 73 12 10 02 00 01 0.033 0.023 0000 0.000 300 8.0 ;
C032 = + 001.0 012 012 070 73 12 10 02 00 01 0.024 0.015 0000 0.000 300 6.0 ;
